scenario,operation_state,method,total_unserved_energy_kwh,maximum_unserved_power_kw,unserved_points,critical_demand_energy_kwh,critical_unserved_energy_kwh,critical_maximum_unserved_power_kw,critical_served_fraction,essential_demand_energy_kwh,essential_unserved_energy_kwh,essential_maximum_unserved_power_kw,essential_served_fraction,interruptible_demand_energy_kwh,interruptible_unserved_energy_kwh,interruptible_maximum_unserved_power_kw,interruptible_served_fraction
storage_derate_350kw,maintenance,HiGHS-priority-LP,0.0,0.0,0,577.505781611111,0.0,0.0,1.0,165.00165188888892,0.0,0.0,1.0,82.50082594444446,0.0,0.0,1.0
storage_derate_350kw,tripping,HiGHS-priority-LP,68.20395722222221,575.9126,221,4586.814192729166,11.288259201388891,227.33160499999997,0.9975389761330898,2116.991165875,44.95579003472223,298.78371,0.9787642996534939,352.83186097916666,11.959907986111112,50.318795,0.9661030952450824
joint_extreme,circulation,proportional-curtailment,637.234085878472,473.097945,1436,3155.9624647055552,446.0638601149305,331.16856149999995,0.8586599602804379,901.7035613444443,127.44681717569442,94.619589,0.8586599602804379,450.85178067222216,63.72340858784721,47.3097945,0.8586599602804379
joint_extreme,connection,proportional-curtailment,0.0,0.0,0,1113.5469467958333,0.0,0.0,1.0,371.1823155986111,0.0,0.0,1.0,371.1823155986111,0.0,0.0,1.0
joint_extreme,drilling,proportional-curtailment,884.8018684756943,759.7605199999998,2512,26423.23673884965,486.6410276616318,417.8682859999999,0.9815828381484343,14412.67458482708,265.4405605427083,227.92815599999992,0.9815828381484343,7206.33729241354,132.72028027135414,113.96407799999996,0.9815828381484343
joint_extreme,idle,proportional-curtailment,0.0,0.0,0,255.85213494652774,0.0,0.0,1.0,73.10060998472223,0.0,0.0,1.0,36.55030499236111,0.0,0.0,1.0
joint_extreme,maintenance,proportional-curtailment,0.0,0.0,0,591.9434261513888,0.0,0.0,1.0,169.1266931861111,0.0,0.0,1.0,84.56334659305556,0.0,0.0,1.0
joint_extreme,tripping,proportional-curtailment,157.22757304513888,840.8195174999998,336,4701.484547547396,102.19792247934026,546.5326863749999,0.9782626271668481,2169.915945021875,47.16827191354166,252.24585524999995,0.9782626271668481,361.65265750364586,7.861378652256943,42.040975875,0.9782626271668481
joint_extreme,circulation,priority-greedy,637.2340858784721,473.097945,1436,3155.9624647055552,160.08813162430545,206.20707149999993,0.9492743866840503,901.7035613444443,313.24704156215273,182.64782499999998,0.6526052962515754,450.85178067222216,163.89891269201388,91.32391249999999,0.6364683035128755
joint_extreme,connection,priority-greedy,0.0,0.0,0,1113.5469467958333,0.0,0.0,1.0,371.1823155986111,0.0,0.0,1.0,371.1823155986111,0.0,0.0,1.0
joint_extreme,drilling,priority-greedy,884.8018684756943,759.7605199999998,2512,26423.23673884965,9.130436552604168,93.8682859999999,0.9996544542728492,14412.67458482708,306.49337841093745,443.9281559999999,0.9787344551070627,7206.33729241354,569.1780535121526,237.04890562499997,0.9210170117749895
joint_extreme,idle,priority-greedy,0.0,0.0,0,255.85213494652774,0.0,0.0,1.0,73.10060998472223,0.0,0.0,1.0,36.55030499236111,0.0,0.0,1.0
joint_extreme,maintenance,priority-greedy,0.0,0.0,0,591.9434261513888,0.0,0.0,1.0,169.1266931861111,0.0,0.0,1.0,84.56334659305556,0.0,0.0,1.0
joint_extreme,tripping,priority-greedy,157.22757304513885,840.8195174999998,336,4701.484547547396,61.93642301006943,483.5239976249999,0.9868261987498439,2169.915945021875,80.94230052031249,309.46058924999994,0.9626979557867176,361.65265750364586,14.348849514756944,51.576764874999995,0.9603242248686855
joint_extreme,circulation,HiGHS-priority-LP,637.2340858784721,473.097945,1436,3155.9624647055552,160.08813162430545,206.20707149999993,0.9492743866840503,901.7035613444443,313.24704156215273,182.64782499999998,0.6526052962515754,450.85178067222216,163.89891269201388,91.32391249999999,0.6364683035128755
joint_extreme,connection,HiGHS-priority-LP,0.0,0.0,0,1113.5469467958333,0.0,0.0,1.0,371.1823155986111,0.0,0.0,1.0,371.1823155986111,0.0,0.0,1.0
joint_extreme,drilling,HiGHS-priority-LP,884.8018684756943,759.7605199999998,2512,26423.23673884965,9.130436552604168,93.8682859999999,0.9996544542728492,14412.67458482708,306.49337841093745,443.9281559999999,0.9787344551070627,7206.33729241354,569.1780535121526,237.04890562499997,0.9210170117749895
joint_extreme,idle,HiGHS-priority-LP,0.0,0.0,0,255.85213494652774,0.0,0.0,1.0,73.10060998472223,0.0,0.0,1.0,36.55030499236111,0.0,0.0,1.0
joint_extreme,maintenance,HiGHS-priority-LP,0.0,0.0,0,591.9434261513888,0.0,0.0,1.0,169.1266931861111,0.0,0.0,1.0,84.56334659305556,0.0,0.0,1.0
joint_extreme,tripping,HiGHS-priority-LP,157.22757304513885,840.8195174999998,336,4701.484547547396,61.93642301006943,483.5239976249999,0.9868261987498439,2169.915945021875,80.94230052031249,309.46058924999994,0.9626979557867176,361.65265750364586,14.348849514756944,51.576764874999995,0.9603242248686855
